date,portfolio_return_y,index_return_y,excess_return,forward_period,factor_type,factor_top_count,minimum_sample_size,factor_threshold,minimum_asset_pct,asset_pct
2016-11-22,-0.055291676975,-0.0464265173863,-0.00886515958873,20,zscore,10,30,0.8,0.5,0.5
2016-11-22,-0.088257601833,-0.0662258370651,-0.0220317647679,20,zscore,10,30,1.0,0.5,0.5
2016-11-22,-0.112774646451,-0.104682827696,-0.0080918187552,20,zscore,10,30,1.2,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,100,0.01,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,100,0.03,0.5,0.5
2016-11-22,-0.055291676975,-0.0464265173863,-0.00886515958873,20,zscore,10,100,0.8,0.5,0.5
2016-11-22,-0.088257601833,-0.0662258370651,-0.0220317647679,20,zscore,10,100,1.0,0.5,0.5
2016-11-22,-0.112774646451,-0.104682827696,-0.0080918187552,20,zscore,10,100,1.2,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,200,0.01,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,200,0.03,0.5,0.5
2016-11-22,-0.055291676975,-0.0464265173863,-0.00886515958873,20,zscore,10,200,0.8,0.5,0.5
2016-11-22,-0.088257601833,-0.0662258370651,-0.0220317647679,20,zscore,10,200,1.0,0.5,0.5
2016-11-22,-0.112774646451,-0.104682827696,-0.0080918187552,20,zscore,10,200,1.2,0.5,0.5
